NOCCODE,OperatorPublicName,RefNm,OpNm,Licence,TLRegOwn,Mode,ManDivNm,GpNme,EBSRAgent,LO,SW,WM,WA,YO,NW,NE,SC,SE,EA,EM,NI,NX,Megabus,"New Bharat",Terravision,NCSD,Easybus,Yorks_RT,"Travel Enq",Comment,AuditDate,AuditEditor,AuditComment,Duplicate,"Date Ceased","Cessation Comment"
DUNN,"Veolia Transport (Midlands)","Veolia Transport Midlands (Dunn Line) - Nottingham, Leicester, Lincoln","Dunn-Line (Holdings) Ltd",PB0002651,EM,Bus,"Astons Transport Ltd,",NoGroup_BusMode,,,,,,DUN,,,,,,DUNN,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,"2015-07-09 00:00:00",Ceased
DUPC,"C & M Coaches","C & M Coaches","Michael Dunn & Catherine Dunn",PM0002209,SC,Bus,"Michael Dunn & Catherine Dunn,",NoGroup_BusMode,,,,,,,,,DUP,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
DUTR,"Dunnett's Transport","Dunnett's Transport","Dunnett's Transport Ltd",PM2047685,SC,Bus,"Dunnett's Transport Ltd",NoGroup_BusMode,,,,,,,,,DUT,,,,,,,,,,,,,,"2022-11-28 00:00:00","Amy Brown",,,,
DVDB,"Davidson Buses","Davidson Buses","Davidson Buses Ltd",PM0002363,SC,Bus,"Davidson Buses Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-10-01 00:00:00","Licence ceased for Stuart McNeil"
DVPA,DANSA,DANSA,"Dansa Ltd",PG1085594,WA,Bus,"Dansa Ltd,",NoGroup_BusMode,,,,,DVPA,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
DVRN,"Deveron Coaches","Deveron Coaches","Deveron Coaches Ltd",PM1022563,SC,Bus,"Deveron Coaches Ltd,",NoGroup_BusMode,,,,,,,,,DVR,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
DVTR,"De Vere Travel","De Vere Travel","Brian Davison",PF1066321,SE,Bus,"Brian Davison,",NoGroup_BusMode,,,,,,,,,,DVTR,DVTR,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
DVYB,"Douglas Valley Bus & Coach","Douglas Valley Bus & Coach","Douglas Valley Bus & Coach",PC0005299,NW,Bus,"Douglas Valley Bus & Coach,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-09-23 00:00:00","Operator Ceased for John McCabe"
DWCO,"DW Coaches","DW Coaches","Daniel James Warden",PC1024373,EM,Bus,"Daniel James Warden,",NoGroup_BusMode,,,,,,,,,,,,DWCO,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
DWYN,"Dilwyn's Coaches","Dilwyn's Coaches","Dilwyn's Coaches Ltd",PG2015440,WA,Bus,"Dilwyn's Coaches Ltd",NoGroup_BusMode,,,,,DWYN,,,,,,,,,,,,,,,,,,"2019-04-08 00:00:00","Amy Brown","Added for Debra Glaves",,,
DYSO,"Dysons Coaches",Dysons,"Robert Arthur Dyson",PC1070968,NW,Bus,"Robert Arthur Dyson,",NoGroup_BusMode,,,,,,,2294,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
EABU,easyBus,,"THE SKIERS LODGE LIMITED",PD1025479,NW,Bus,"Easybus Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2018-09-09 00:00:00","Amy Brown",Ceased,,,
EABU,easyBus,,"THE SKIERS LODGE LIMITED",PD1025479,NW,Bus,"Easybus Ltd,",NoGroup_BusMode,,,,,,,EABU,,,,,,,,,,,,,,,,,,,,,
EACO,easyCoach,easyCoach,"THE SKIERS LODGE LIMITED",PD1025479,WA,Bus,"Easybus Ltd,",NoGroup_BusMode,,,,ESYC,EACO,,,,,,,,,,,,,,,,,,"2017-04-28 00:00:00","Amy Brown",,,,
EAGC,"Eagles Coaches","Eagles Coaches","Martin James William Eagle",PF0001223,EA,Bus,"Martin James William Eagle,",NoGroup_BusMode,,,,,,,,,,EAGC,EAGC,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
EAPE,"Easyway of Pencoed","Easyway of Pencoed","Easyway Minibus Hire Ltd",PG1056827,WA,Bus,"Easyway Minibus Hire Ltd,",NoGroup_BusMode,,,,,EAPE,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
EARB,"E & A J Robertson","E & A J Robertson","Eric Robertson & Dale M Robertson",PM1094731,SC,Bus,"Eric Robertson & Dale M Robertson,",NoGroup_BusMode,,,,,,,,EAR,RBN,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
EARN,"Earnside Coaches","Earnside Coaches","Rutherford David Murray & Elizabeth Thomson & Fiona Elizabeth",PM0001643,SC,Bus,"Rutherford David Murray & Elizabeth Thomson & Fiona Elizabeth,",NoGroup_BusMode,,,,,,,,,EAR,,,,,,,,,,,,,,"2020-10-19 00:00:00","Amy Brown",,OK,,
EASC,"Eastville Coaches","Eastville Coaches","Eastville Coaches Ltd",PH0003865,SW,Bus,"Eastville Coaches Ltd,",NoGroup_BusMode,,,EC,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
EASI,Easidrive,Easidrive,"James Anthony Murray",PC0004929,NW,Bus,"James Anthony Murray,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-09-23 00:00:00","Operator Ceased for John McCabe"
EAST,"Eastons Coaches","Eastons Coaches (Norwich)","A W Eastons Coaches Ltd",PF0000035,EA,Bus,"A W Eastons Coaches Ltd,",NoGroup_BusMode,,,,,,,,,,,EAST,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
EAWY,Eastonways,Eastonways,"Eastonways Ltd",PK0003087,SE,Bus,"Eastonways Ltd,",NoGroup_BusMode,,,,,,,,,,EAWY,,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,"2015-06-15 00:00:00","Data cleanse for David Dyson"
EAZI,EaziBus,Eazibus,"Stephen Evans & Amanda Evans",PC1053227,NW,Bus,"Stephen Evans & Amanda Evans,",NoGroup_BusMode,,,,,,,2608,,,,,,,,,,,,,,,,"2016-09-19 00:00:00","Amy Brown","Added old local code back in",OK,,
EAZI,EaziBus,Eazibus,"Stephen Evans & Amanda Evans",PC1053227,NW,Bus,"Stephen Evans & Amanda Evans,",NoGroup_BusMode,,,,,,,EAZI,,,,,,,,,,,,,,,,"2016-09-09 00:00:00","Amy Brown","Replaced Trapeze code with new local code",Dup,,
EBLY,"Ebley Coaches","Ebley Coaches (Stroud)","Ebley Coaches Ltd",PH1012243,SW,Bus,"Ebley Coaches Ltd,",NoGroup_BusMode,,,EB,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
EBOS,"Euro Buses of Stoke","Euro Buses of Stoke","Euro Buses of Stoke",,WM,Bus,"Euro Buses of Stoke,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-09-23 00:00:00","Operator Ceased for John McCabe"
EBRO,"Edwards Bros","Edwards Bro","Robert William Edwards",PG0006194,WA,Bus,"Robert William Edwards,",NoGroup_BusMode,,,,,EBRO,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
EBTL,"Ellenbrook Travel",,"Ellenbrook Travel Ltd",PC1054936,NW,Bus,"Ellenbrook Travel Ltd,",NoGroup_BusMode,,,,,,,EBTL,,,,,,,,,,,,,,,,"2015-09-08 00:00:00","John Prince","Added for John McCabe",OK,,
EBTR,"Eddie Brown Tours","Eddie Brown Tours","Eddie Brown Tours Ltd",PB0000268,YO,Bus,"Eddie Brown Tours Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,EBT,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-07-24 00:00:00","Ceased for Andrew Davie"
ECBU,"East Coast Buses","East Coast Buses","East Coast Buses Limited",PM1050765,SC,Bus,"Lothian Buses Limited,","Lothian Buses",,,,,,,,,ECB,,,,,,,,,,,,,,"2021-10-05 00:00:00","Amy Brown",,,,
ECHS,"Evans Coaches (Tarporley)","Evans Coaches","Peter Jeremy Offa Evans",PC0003007,NW,Bus,"Peter Jeremy Offa Evans,",NoGroup_BusMode,,,,,,,2213,,,,,,,,,,,,,,,,"2012-04-23 00:00:00","John Prince","Shorten NOC of ECCHS",OK,,
ECLN,"Edinburgh Coach Lines","Edinburgh Coach Lines","Edinburgh Coach Lines Ltd",PM0000103,SC,Bus,"Edinburgh Coach Lines Ltd,",NoGroup_BusMode,,,,,,,,,ECL,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ECOA,"E Coaches","E Coaches of Alfreton","Keiron Paul Bacon",PC1055218,EM,Bus,"Keiron Paul Bacon,",NoGroup_BusMode,,,,,,,,,,,,ECOA,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
ECSL,"Elite Coach Services","Elite Coach Services","Elite Coach Services Ltd",PD1096894,WM,Bus,"Elite Coach Services Ltd,",NoGroup_BusMode,,,,ECS,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ECTL,"East Coast Travel (Bridlington)","East Coast Travel","Christopher Ian Wilkinson",PB1073204,YO,Bus,"Christopher Ian Wilkinson,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
ECWY,"Eastbourne Coachways","Eastbourne Coachways","Eastbourne Coachways Limited",PK1115405,SE,Bus,"Eastbourne Coachways Limited",NoGroup_BusMode,,,,,,,,,,ECWY,,,,,,,,,,,,,"2018-11-13 00:00:00","Amy Brown","Added for Stuart Reynolds",,,
EDEN,Eden,Eden,"Graeme Michael Scarlett",PB0004077,NE,Bus,"Graeme Michael Scarlett,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-09-25 00:00:00","Licence ceased for Amy Armstrong"
EDMS,"Emsworth & District","Emsworth & District","Portsmouth City Coaches Limited",PK2013729,SW,Bus,"Portsmouth City Coaches Limited",NoGroup_BusMode,,,EM,,,,,,,,,,,,,,,,,,,,"2018-08-15 00:00:00","Amy Brown","Updated licence",OK,,
EDMS,"Emsworth & District","Emsworth & District","Portsmouth City Coaches Limited",PH2013809,SW,Bus,"Portsmouth City Coaches Limited",NoGroup_BusMode,,,,,,,,,,EDMS,,,,,,,,,,,,,"2018-08-21 00:00:00","Amy Brown","Added additional licence",,,
EDTM,"Edward Thomas","Edward Thomas","Ivan Edward Thomas",PK0002290,SE,Bus,"Ivan Edward Thomas,",NoGroup_BusMode,,ET,,,,,,,,EDTM,,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
EDWC,"Edwards Coaches","Edwards Coaches","Edwards Coaches Ltd",PG1044350,WA,Bus,"Edwards Coaches Ltd,",NoGroup_BusMode,,,,,EDWC,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
EFCO,"Eifion's Coaches","Eifion's Coaches","Hugh Eifion Humphreys",PG0007352,WA,Bus,"Hugh Eifion Humphreys,",NoGroup_BusMode,,,,,EFCO,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-07-17 00:00:00","Ceased for Debra Glaves"
EGCO,"Eagle Coaches","Eagle Coaches","Martin James William Eagle",PF0001223,EA,Bus,"Martin James William Eagle,",NoGroup_BusMode,,,EG,,,,,,,,,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
EGLT,"Eagle Travel","Eagle Travel","Dek Ltd",PD1052788,WM,Bus,"Dek Ltd,",NoGroup_BusMode,,,,ETS,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-09-23 00:00:00","Operator Ceased for John McCabe"
EKTV,"Elkin Travel","Elkin Travel","Michael John Elkin & Sharon Sarah Wood",PD1036385,WM,Bus,"Michael John Elkin & Sharon Sarah Wood,",NoGroup_BusMode,,,,EKT,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ELBG,"Stagecoach London","East London Bus & Coach Company, South East London & Kent Bus Co","East London Bus & Coach Co Ltd","PK0001938, PK0002365",LO,Bus,"Stagecoach London,",Stagecoach,,IF,,,ELBG,,,,,ELBG,,,,,,,,,,,,,"2013-03-26 00:00:00","John Prince","LO code added for Stuart Reynolds",OK,,
ELBG,"Stagecoach London","East London Bus & Coach Company, South East London & Kent Bus Co","East London Bus & Coach Co Ltd","PK0001938, PK0002365",LO,Bus,"Stagecoach London,",Stagecoach,,SK,,,,,,,,,,,,,,,,,,,,,"2017-04-21 00:00:00","Steven Penn","Added second London code",,,
ELCR,"Elcock Reisen","Elcock Reisen","M H Elcock And Son Ltd",PD0000134,WM,Bus,"M H Elcock And Son Ltd,",NoGroup_BusMode,,,,ELC,,,,,,,,,,,,,,,,,,"Also WMTIS code MHE","2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
ELCR,"Elcock Reisen","Elcock Reisen","M H Elcock And Son Ltd",PD0000134,WM,Bus,"M H Elcock And Son Ltd,",NoGroup_BusMode,,,,ELR,,,,,,,,,,,,,,,,,,,"2013-09-06 00:00:00","John Prince","Add second local code for WM",Dup,,
ELGC,"Elgar Coaches","Eastbond Ltd","Gordon Raymond Price & Janet Sandra Portlock",PD0001706,WM,Bus,"Gordon Raymond Price & Janet Sandra Portlock,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
ELIS,"Elite Services",Stockport,"Elite Services Ltd",PC0002078,NW,Bus,"Elite Services Ltd,",NoGroup_BusMode,,,,,,,ELI,,,,,,,,,,,,,,,,"2016-09-09 00:00:00","Amy Brown","Replaced Trapeze code with new local code",OK,,
ELIS,"Elite Services",,"Elite Services Ltd",PC0002078,NW,Bus,"Elite Services Ltd,",NoGroup_BusMode,,,,,,,ELIS,,,,,,,,,,,,,,,,,,,,,
ELLI,"Clifford Ellis","Clifford Ellis","Clifford Ellis",,YO,Bus,"Clifford Ellis,",NoGroup_BusMode,,,,,,,,ELL,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-07-27 00:00:00","Ceased for Andrew Davie"
ELLS,Ellis,Ellis,Ellis,,WA,Bus,"Ellis,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,"Need more identifying information, too many Ellis' in VOSA db","2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ELNS,"Ellison Travel Service",Ellisons,"W S Ellison Ltd",PC0001255,NW,Bus,"W S Ellison Ltd,",NoGroup_BusMode,,,,,,,2297,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
ELNV,"Ellenvale Coaches",,"Ellenvale Coaches",PC1073901,NW,Bus,"Ellenvale Coaches",NoGroup_BusMode,,,,,,,ELN,,,,,,,,,,,,,,,"Created for Cumbria","2016-08-01 00:00:00","Steven Penn",,,,
ELRO,"Ellie Rose Travel","Ellie Rose Travel Ltd","Ellie Rose Travel Ltd",PB0004385,YO,Bus,"Ellie Rose Travel Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
EMBL,"Emblings Coaches","Emblings Coaches","Emblings Coaches Ltd",PF0002161,EA,Bus,"Emblings Coaches Ltd,",NoGroup_BusMode,,,,,,,,,,,EMBL,EMBL,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
EMCS,"Elite MiniBus Services",Blackpool,"Elite Minibus and Coach Service Ltd",PC0003673,NW,Bus,"Elite Minibus and Coach Service Ltd,",NoGroup_BusMode,,,,,,,ELI,,,,,,,,,,,,,,,,"2016-09-08 00:00:00","Amy Brown","Replaced Trapeze code with new local code",OK,,
EMHO,"E & M Horsburgh","E & M Horsburgh","E & M Horsburgh Ltd",PM0003023,SC,Bus,"E & M Horsburgh Ltd,",NoGroup_BusMode,,,,,,,,,EMH,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
EMMA,"Emma's Coaches International Limited","Emma's Coaches","John Barrie Thomas",PG0007375,WA,Bus,"John Barrie Thomas,",NoGroup_BusMode,,,,,EMMA,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-07-17 00:00:00","Ceased for Debra Glaves"
EMME,"Emmets Taxis",Emmets,"Emmets Taxis",,NW,Bus,"Emmets Taxis                                 ,",NoGroup_BusMode,,,,,,,2349,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
EMQS,"Effie MacQuien",,"Effie MacQuien",PM1110696,SC,Bus,"Effie MacQuien,",NoGroup_BusMode,,,,,,,,,EMQ,,,,,,,,,,,,,"Restricted licence","2014-01-13 00:00:00","John Prince","Added for Stuart McNeill",OK,,
EMSY,"Stagecoach East Midlands",,"East Midland Motor Services Ltd",PC0003507,EM,Bus,"Stagecoach East Midland,",Stagecoach,,,,,,,,,,,,,,,,,,,,SEM,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,"2015-07-27 00:00:00","Ceased for Andrew Davie"
ENLI,"Englands Limousines","Englands Limousines","Karl Terrance England",PC1093923,NW,Bus,"Karl Terrance England",NoGroup_BusMode,,,,,,,ENLI,,,,,,,,,,,,,,,,"2017-04-06 00:00:00","Amy Brown","Added for Ian Barrett",,,
ENPS,"Enterprise Coaches","Enterprise Coaches","George Timothy James Mills",PB0004003,YO,Bus,"George Timothy James Mills,",NoGroup_BusMode,,,,,,EC,,,,,,,,,,,,,,,,,"2014-08-11 00:00:00","John Prince","Add EC for Yorkshire",OK,,
ENSB,"Ensign Bus","Ensign Bus","Ensign Bus Co Ltd",PF0001961,SE,Bus,"Ensign Bus Co Ltd,",NoGroup_BusMode,,ESB,,,,,1928,ENS,,ENSB,,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
ENTR,"Enterprise (AOL)","Enterprise (AOL)","Enterprise Aol Ltd",PK1032042,SE,Bus,"Enterprise Aol Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
EOSB,EOS,"EOS London","Swallow Coach Co Ltd",PK1131868,SE,Bus,"Swallow Coach Co Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2016-08-19 00:00:00","Steven Penn","Swapped local code from SWLW for David Dyson",,"2019-09-13 00:00:00",
EPSM,"Epsom Buses",,"H R Richmond Ltd",PK0002378,SE,Bus,"H R Richmond Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2018-03-21 00:00:00","Amy Brown","Moved local code EPSM to QULN",OK,,
ERBS,"ERB Services","ERB Services","ERB Services",,NE,Bus,"ERB Services,",NoGroup_BusMode,,,,,,,,ERB,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ERCB,"Eurocab Minibuses","Eurocab Minibuses","Steve Harrison",PB1088018,NE,Bus,"Steve Harrison,",NoGroup_BusMode,,,,,,,,EUR,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-09-25 00:00:00","Licence ceased for Amy Armstrong"
ERDG,"East Riding Of Yorkshire Council","Fleet Management & Passenger Transport Unit","East Riding Of Yorkshire Council",PB0004001,YO,Bus,"Local Authority,",NoGroup_BusMode,,,,,,ERYC,,,,,,,,,,,,,,,,,"2011-07-15 00:00:00","John Prince","Add YO code of ERYC",OK,,
ERHR,"ERH Roadcar","ERH Roadcar","Edward Robert Hobbs",PH1062520,SW,Bus,"Edward Robert Hobbs,",NoGroup_BusMode,,,ER,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
EROS,"Bridgend Bus, Eros Travel","Eros Travel","Rh & Dt Edwards Ltd",PG0007223,WA,Bus,"Rh & Dt Edwards Ltd,",NoGroup_BusMode,,,,,EROS,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-07-17 00:00:00","Ceased for Debra Glaves"
ERTR,"Ellie Rose Travel","Ellie Rose Travel","Ellie Rose Travel Ltd",PB0004385,YO,Bus,"Ellie Rose Travel Ltd,",NoGroup_BusMode,,,,,,ERTR,,,,,,,,,,,,,,,,,"2017-07-07 00:00:00","Amy Brown","Added for Janet Williamson",,,
ESCV,"Escort Taxis Ltd & Valley Cars","Escort Taxis Ltd & Valley","Escort Taxis Ltd & Valley Cars",,NW,Bus,"Escort Taxis Ltd & Valley Cars                  ,",NoGroup_BusMode,,,,,,,1364,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
ESKV,"Esk Valley Coaches",(Whitby),"Charles William Simpson",PB1011278,YO,Bus,"Charles William Simpson,",NoGroup_BusMode,,,,,,,,EV,,,,,,,,,,,,ESK,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-07-27 00:00:00","Ceased for Andrew Davie"
ESON,"George Edwards & Son","George Edwards & Son","George Edwards And Son Ltd",PG1046224,WA,Bus,"George Edwards And Son Ltd,",NoGroup_BusMode,,,,,ESON,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
ESTB,"EST Bus Ltd.","EST Bus Ltd.","Est Bus Ltd",PG0007454,WA,Bus,"Est Bus Ltd,",NoGroup_BusMode,,,,,ESTB,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-07-17 00:00:00","Ceased for Debra Glaves"
ESTC,"EST Coach Ltd","EST Coach Ltd","Est Coaches Ltd",PG0007539,WA,Bus,"Est Coaches Ltd,",NoGroup_BusMode,,,,,ESTC,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-07-17 00:00:00","Ceased for Debra Glaves"
ESTS,"Stotts Coaches","E Stott & Sons","E Stott & Sons Ltd",PB0004410,YO,Bus,"E Stott & Sons Ltd,",NoGroup_BusMode,,,,,,STCO,1940,,,,,ESTS,,,,,,,,STT,,,"2013-09-13 00:00:00","John Prince","Add EM local code from STTT",OK,,
ESTS,"Stotts Coaches","Stotts Coaches","E Stott & Sons Ltd",PB0004410,YO,Bus,"E Stott & Sons Ltd,",NoGroup_BusMode,,,,,,STT,,,,,,,,,,,,,,,,,"2020-09-11 00:00:00","Amy Brown","Added for Yorkshire data team",,,
ESTW,"Royal Buses","Nicholas Colin Eastwood","Nicholas Colin Eastwood",PH1086607,SW,Bus,"Nicholas Colin Eastwood,",NoGroup_BusMode,,,RB,,,,,,,,,,,,,,,,,,,,"2014-10-24 00:00:00","John Prince","Change Public Name and add SW code for Andy Hole",OK,,
ESYB,easyBus,EasyBus,"Easybus Ltd",PK2007537,LO,Bus,"Easybus Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,ESYB,,,,"2014-09-24 00:00:00","John Prince","Populate new Easybus column for Simon Court",OK,,
ETBU,"East Thames Buses","East Thames Buses","East Thames Buses",,LO,Bus,"London Central & General,","Go Ahead Group",,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ETNW,"Express Travel","Express Travel","Express Travel Services NW Ltd",PC2001962,NW,Bus,"Express Travel Services NW Ltd",NoGroup_BusMode,,,,,,,ETNW,,,,,,,,,,,,,,,,"2020-06-01 00:00:00","Monica Johal","Requested by Ian Barratt",,,
ETOR,"Edinburgh Bus Tours","Edinburgh Tours","Edinburgh Bus Tours Ltd",PM1007722,SC,Bus,"Edinburgh Bus Tours Ltd,","Lothian Buses",,,,,,,,,ETO,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
ETTV,"Direct Travel (MCR) Ltd","Direct Travel","Direct Travel (Mcr) Ltd",PC1086772,NW,Bus,"Direct Travel (Mcr) Ltd,",NoGroup_BusMode,,,,,,,1367,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
EUTX,Eurocoaches,"Eurotaxis (Bristol) Ltd","Eurotaxis Ltd",PH0005985,SW,Bus,"Eurotaxis Ltd,",NoGroup_BusMode,,,EU,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
EVAN,"J.F. Evans",Evans,"J.F. Evans",,NW,Bus,"J.F. Evans,",NoGroup_BusMode,,,,,,,2299,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
EVES,"Eve Coaches","Eves Coaches","Eve Coaches Ltd",PM1036880,SC,Bus,"Eve Coaches Ltd,",NoGroup_BusMode,,,,,,,,,EVE,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
EVGC,"Thandi Red Limited","Thandi Red Limited","Thandi Red Limited",PD2044286,WM,Bus,"Thandi Red Limited",NoGroup_BusMode,,,,THC,,,,,,,,,,,,,,,,,,,"2022-05-04 00:00:00","Amy Brown","Updated Licence and Name",OK,,
EWEN,"Ewen's Coach Hire","Ewen's Coach Hire","Ewan R MacKenzie",PM0003093,SC,Bus,"Ewan R MacKenzie,",NoGroup_BusMode,,,,,,,,,EWE,,,,,,,,,,,,,,"2017-02-10 00:00:00","Amy Brown","Cessation removed",OK,,
EXCC,"Express Cabs","Express Cabs","Express Cabs and Couriers Ltd",PK0003401,SE,Bus,"Express Cabs and Couriers Ltd",NoGroup_BusMode,,,,,,,,,,EXCC,,,,,,,,,,,,,"2019-04-16 00:00:00","Amy Brown","Added for David Dyson",,,
EXCL,"Excel Coaches","EXCEL PASSENGER LOGISTICS LTD","Excel Passenger Logistics Ltd",PF1020879,SE,Bus,"Excel Passenger Logistics Ltd,",NoGroup_BusMode,,,,,,,1938,,,,,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
